neighborhood,shelter_no,waze_link,area,type,capacity,operator,latitude,longiude,address_label,Administration,neighborhood,name_other,google_maps_link
Ir Ganim&nbsp;,Public Shelter No.727,"https://www.waze.com/ul?ll=31.75358540,35.17104630&amp;navigate=yes&amp;zoom=16",120,,148,"Emergency and Security Division, Jerusalem Municipality",31.75457225,35.17056825,104 HaNurit St.,,,Ir Ganim,"https://www.google.com/maps/dir//31.7535854,35.1710463+(104+HaNurit+St.)"
Ir Ganim,Public Shelter No.728,"https://www.waze.com/live-map/directions?navigate=yes&amp;to=ll.31.753476,35.1711774",183,,148,"Emergency and Security Division, Jerusalem Municipality",31.754851,35.17017787,102 HaNurit St.,,,Ir Ganim,"https://www.google.com/maps/dir//31.754851,35.17017787+(102+HaNurit+St.)"
Kiryat Menachem,Public Shelter No.729,"https://www.waze.com/ul?ll=31.75593850,35.16587680&amp;navigate=yes&amp;zoom=16",250,,200,Ganim Community Administration,31.75615742,35.1658768,7 Dahomey St.,,,Kiryat Menachem,"https://www.google.com/maps/dir//31.7559385,35.1658768+(7+Dahomey+St.)"
Kiryat Menachem,Public Shelter No.730,"https://ul.waze.com/ul?place=ChIJL0C2OHnXAhURTM92rdLO7H8&amp;ll=31.75653780,35.16683050&amp;navigate=yes&amp;utm_campaign=default,default&amp;utm_source=waze_website,waze_website&amp;utm_medium=lm_share_location",196,,156,"""Magen David"" synagogue",31.7582757415388,35.1667934039464,3 Dahomey St.,,,Kiryat Menachem,"https://www.google.com/maps/dir//31.7565378,35.1668305+(3+Dahomey+St.)"
Kiryat Menachem,Public Shelter No.734,"https://www.waze.com/ul?ll=31.75949260,35.16539450&amp;navigate=yes&amp;zoom=16",130,,104,"Emergency and Security Division, Jerusalem Municipality",31.75967074,35.16537727,17 Iceland St.,,,"Kiryat Menachem, Accessible Shelter","https://www.google.com/maps/dir//31.7594926,35.1653945+(17+Iceland+St.)"
Kiryat Menachem,Public Shelter No.734 A,"https://www.waze.com/ul?ll=31.75949260,35.16539450&amp;navigate=yes&amp;zoom=16",170,,136,"Emergency and Security Division, Jerusalem Municipality",31.75967074,35.16537727,17 Iceland St.,,,"Kiryat Menachem, Accessible Shelter","https://www.google.com/maps/dir//31.7594926,35.1653945+(17+Iceland+St.)"
Kiryat HaYovel,Public Shelter No.736,"https://www.waze.com/ul?ll=31.76052380,35.17046580&amp;navigate=yes&amp;zoom=16",200,,160,Yuvalim Community Administration,31.76074271,35.1704658,8 Chile St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.7605238,35.1704658+(8+Chile+St.)"
Kiryat HaYovel,Public Shelter No.737,"https://www.waze.com/ul?ll=31.75984730,35.17217080&amp;navigate=yes&amp;zoom=16",150,,120,"""Mishkan Mordechai"" synagogue",31.76016281,35.1720983,32 Janus Korczak St.,,,"Kiryat Yovel, Accessible Shelter","https://www.google.com/maps/dir//31.7598473,35.1721708+(32+Janus+Korczak+St.)"
Kiryat HaYovel,Public Shelter No.738,"https://www.waze.com/ul?ll=31.76316000,35.17319900&amp;navigate=yes&amp;zoom=16?ll=31.76316000,35.17319900&amp;navigate=yes&amp;zoom=16",90,,72,"""Bnei Akiva"" youth movement",31.76217764,35.17317009,78 Anielewicz St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.76316,35.173199+(78+Anielewicz+St.)"
Kiryat HaYovel ,Public Shelter No.739,"https://www.waze.com/ul?ll=31.76593340,35.17605680&amp;navigate=yes&amp;zoom=16",90,,72,"Jerusalem Municipality's Society Division, ""Hashomer Hatzair"" youth movement ",31.76613405,35.17604607,3 Schmorak St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.7659334,35.1760568+(3+Schmorak+St.)"
Kiryat HaYovel,Public Shelter No.741,"https://ul.waze.com/ul?place=EidJc3JhZWwgWmFuZ3ZpbGwgU3QgNSwgSmVydXNhbGVtLCBJc3JhZWwiMBIuChQKEglhFh1xotcCFRFtB0gH5wU2kRAFKhQKEgnjZ3TEmNcCFRGlVBnUUJAP9g&amp;ll=31.76717800,35.17830100&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.76739980,35.17825480&amp;navigate=yes&amp;zoom=16",90,Shelter,72,"Emergency and Security Division, Jerusalem Municipality",31.7672235820797,35.1783010039463,5 Yisrael Zangvill St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.767178,35.178301+(5+Yisrael+Zangvill+St.)"
Bayit VeGan,Public Shelter No.742,"https://goo.gl/maps/rnoVPRLtCRr?ll=31.75734040,35.22089700&amp;navigate=yes&amp;zoom=16",270,,216,"Emergency and Security Division, Jerusalem Municipality",31.76591212,35.18298046,7 Sha'arei Tora St.,,,Bayit VeGan,"https://www.google.com/maps/dir//31.7573404,35.220897+(7+Sha'arei+Tora+St.)"
Bayit VeGan,Public Shelter No.743,"https://www.waze.com/ul?ll=31.76566530,35.18285900&amp;navigate=yes&amp;zoom=16",115,,92,"Emergency and Security Division, Jerusalem Municipality",31.76926455,35.18451955,39 Bayit VaGan St.,,,Bayit VeGan,"https://www.google.com/maps/dir//31.7656653,35.182859+(39+Bayit+VaGan+St.)"
Beit HaKerem,Public Shelter No.744,"https://ul.waze.com/ul?place=ChIJLcCiqLfXAhUR_SxxejzKonQ&amp;ll=31.77501350,35.19041570&amp;navigate=yes&amp;utm_campaign=default,default&amp;utm_source=waze_website,waze_website&amp;utm_medium=lm_share_location",170,,136,"Emergency and Security Division, Jerusalem Municipality",31.77512976,35.19041839,4 HaBanai St.,,,Beit HaKerem,"https://www.google.com/maps/dir//31.7750135,35.1904157+(4+HaBanai+St.)"
Beit HaKerem,Public Shelter No.745,"https://www.waze.com/ul?ll=31.77748050,35.19221930&amp;navigate=yes&amp;zoom=16?ll=31.77748050,35.19221930&amp;navigate=yes&amp;zoom=16?ll=31.77748050,35.19221930&amp;navigate=yes&amp;zoom=16",170​,,136,"Emergency and Security Division, Jerusalem Municipality",31.7775352,35.1922193,30 HaBanai St.,,,Beit HaKerem,"https://www.google.com/maps/dir//31.7774805,35.1922193+(30+HaBanai+St.)"
Kiryat Moshe,Public Shelter No.748,"https://www.waze.com/ul?ll=31.78791710,35.19552270&amp;navigate=yes&amp;zoom=16",134,,107,"Emergency and Security Division, Jerusalem Municipality",31.78803628,35.19554033,2 Ha'ilui St.    ,,,Kiryat Moshe,"https://www.google.com/maps/dir//31.7879171,35.1955227+(2+Ha'ilui+St.+ + )"
Romema,Public Shelter No.750,"https://ul.waze.com/ul?place=ChIJTyywYDzWAhURQrtyZ5Wv-EE&amp;ll=31.79594850,35.20085500&amp;navigate=yes&amp;utm_campaign=default,default&amp;utm_source=waze_website,waze_website&amp;utm_medium=lm_share_location",130,,104,Romema Community Administration,31.79611804,35.20083957,5 Zichron Ya'akov St.,,,Romema,"https://www.google.com/maps/dir//31.7959485,35.200855+(5+Zichron+Ya'akov+St.)"
Morasha,Public Shelter No.751,"https://ul.waze.com/ul?place=EhtIYUF5aW4gSGV0IFN0IDEwLCBKZXJ1c2FsZW0iMBIuChQKEgkjj043xSkDFRHhsRby5vQIpxAKKhQKEgmrwsBcxSkDFRHpjYkmcKTjkg&amp;ll=31.78297850,35.22627060&amp;navigate=yes&amp;utm_campaign=default,default&amp;utm_source=waze_website,waze_website&amp;utm_medium=lm_share_location",,,80,Musrara photography school ,31.7831014148958,35.2264040677971,10 HaAyin Het St.,,,Musrara - Morasha,"https://www.google.com/maps/dir//31.7829785,35.2262706+(10+HaAyin+Het+St.)"
